source_file,source_section,rows,columns,included,note
reports/context_strategy_backtests/post_rule_approval_strict/rejected_candidates.csv,reports/context_strategy_backtests/post_rule_approval_strict/rejected_candidates,0,,False,empty file
reports/context_strategy_backtests/post_rule_approval_strict/reviewed_trades.csv,reports/context_strategy_backtests/post_rule_approval_strict/reviewed_trades,0,,False,empty file
reports/context_strategy_backtests/post_rule_approval_strict/sensitivity_grid.csv,reports/context_strategy_backtests/post_rule_approval_strict/sensitivity_grid,0,,False,empty file
reports/context_strategy_backtests/post_rule_approval_strict/strict_trades.csv,reports/context_strategy_backtests/post_rule_approval_strict/strict_trades,0,,False,empty file
data/reports/relationship_funnel/relationship_funnel_20260515T105543Z.csv,data/reports/relationship_funnel/relationship_funnel_20260515T105543Z,5214,"[""relationship_id"", ""market_id_a"", ""market_id_b"", ""token_id_a_yes"", ""token_id_b_yes"", ""question_a"", ""question_b"", ""relationship_family"", ""relationship_type"", ""relationship_subtype"", ""strategy_lane"", ""validation_status"", ""final_confidence"", ""strategy_eligibility_status"", ""gamma_exists_a"", ""gamma_exists_b"", ""price_history_exists_a"", ""price_history_exists_b"", ""coverage_score_a"", ""coverage_score_b"", ""coverage_score_pair"", ""tick_count_a"", ""tick_count_b"", ""aligned_tick_count"", ""gross_violations"", ""routing_note"", ""final_blocker"", ""label""]",True,
data/reports/coverage_debug/coverage_debug_20260515T105632Z.csv,data/reports/coverage_debug/coverage_debug_20260515T105632Z,0,,False,empty file
data/backtests/reviewed_context_low_conf/context_aware/reviewed_context_valid/equity_curve.csv,data/backtests/reviewed_context_low_conf/context_aware/reviewed_context_valid/equity_curve,1,"[""cash_usdc"", ""equity_usdc"", ""ts_ms""]",True,
data/backtests/reviewed_context_low_conf/context_aware/reviewed_context_valid/example_trades.csv,data/backtests/reviewed_context_low_conf/context_aware/reviewed_context_valid/example_trades,4,"[""candidate_id"", ""context_space_id"", ""execution_model"", ""fees_usdc"", ""fill_price"", ""fill_ts_ms"", ""holdout_bucket"", ""leg"", ""market_id"", ""notional_usdc"", ""relationship_id"", ""run_id"", ""shares"", ""side"", ""slippage_cost_usdc"", ""strategy_lane"", ""token_id"", ""trade_id""]",True,
data/backtests/reviewed_context_low_conf/context_aware/reviewed_context_valid/rejected_candidates.csv,data/backtests/reviewed_context_low_conf/context_aware/reviewed_context_valid/rejected_candidates,9,"[""context_space_id"", ""market_id_a"", ""market_id_b"", ""rejection_reason"", ""relationship_id"", ""relationship_subtype"", ""relationship_type"", ""strategy_lane""]",True,
data/backtests/reviewed_context_low_conf/context_aware/reviewed_context_valid/signals.csv,data/backtests/reviewed_context_low_conf/context_aware/reviewed_context_valid/signals,11,"[""accepted_for_simulation"", ""candidate_id"", ""context_space_id"", ""estimated_fee"", ""estimated_slippage"", ""execution_model"", ""execution_model_confidence"", ""expected_payout_json"", ""gross_edge"", ""holdout_bucket"", ""inequality_violated"", ""ingested_ts_ms"", ""market_id_a"", ""market_id_b"", ""net_edge_after_costs"", ""price_a"", ""price_a_ts_ms"", ""price_b"", ""price_b_ts_ms"", ""rejection_reason"", ""relationship_id"", ""relationship_type"", ""run_id"", ""schema_version"", ""signal_ts_ms"", ""simulated_position_json"", ""stake_usdc"", ""strategy_lane"", ""theoretical_edge"", ""token_id_a"", ""token_id_b""]",True,
data/backtests/reviewed_context_low_conf/context_aware/reviewed_context_valid/trades.csv,data/backtests/reviewed_context_low_conf/context_aware/reviewed_context_valid/trades,4,"[""candidate_id"", ""context_space_id"", ""execution_model"", ""fees_usdc"", ""fill_price"", ""fill_ts_ms"", ""holdout_bucket"", ""leg"", ""market_id"", ""notional_usdc"", ""relationship_id"", ""run_id"", ""shares"", ""side"", ""slippage_cost_usdc"", ""strategy_lane"", ""token_id"", ""trade_id""]",True,
data/backtests/reviewed_context_low_conf/context_aware/sensitivity/sensitivity_grid.csv,data/backtests/reviewed_context_low_conf/context_aware/sensitivity/sensitivity_grid,24,"[""credibility_label"", ""fee_bps"", ""lane"", ""min_net_edge"", ""min_relationship_confidence"", ""net_pnl_usdc"", ""slippage_bps"", ""trades_executed""]",True,
data/backtests/post_rule_approval_strict/context_aware/strict_context_valid/equity_curve.csv,data/backtests/post_rule_approval_strict/context_aware/strict_context_valid/equity_curve,1,"[""cash_usdc"", ""equity_usdc"", ""ts_ms""]",True,
data/backtests/post_rule_approval_strict/context_aware/strict_context_valid/example_trades.csv,data/backtests/post_rule_approval_strict/context_aware/strict_context_valid/example_trades,0,,False,empty file
data/backtests/post_rule_approval_strict/context_aware/strict_context_valid/rejected_candidates.csv,data/backtests/post_rule_approval_strict/context_aware/strict_context_valid/rejected_candidates,0,,False,empty file
data/backtests/post_rule_approval_strict/context_aware/strict_context_valid/signals.csv,data/backtests/post_rule_approval_strict/context_aware/strict_context_valid/signals,0,,False,empty file
data/backtests/post_rule_approval_strict/context_aware/strict_context_valid/trades.csv,data/backtests/post_rule_approval_strict/context_aware/strict_context_valid/trades,0,,False,empty file
data/backtests/post_rule_approval_diagnostic_all_statuses/diagnostic/equity_curve.csv,data/backtests/post_rule_approval_diagnostic_all_statuses/diagnostic/equity_curve.csv/equity_curve,1,"[""cash_usdc"", ""equity_usdc"", ""label"", ""ts_ms""]",True,
data/backtests/post_rule_approval_diagnostic_all_statuses/diagnostic/fills_close.csv,data/backtests/post_rule_approval_diagnostic_all_statuses/diagnostic/fills_close.csv/fills_close,118,"[""close_reason"", ""close_ts_ms"", ""fill_id"", ""label"", ""leg_a_close_price"", ""leg_a_entry_cost"", ""leg_a_proceeds"", ""leg_a_shares"", ""leg_a_token_id"", ""leg_b_close_price"", ""leg_b_entry_cost"", ""leg_b_proceeds"", ""leg_b_shares"", ""leg_b_token_id"", ""position_id"", ""realized_pnl_usdc"", ""relationship_id"", ""run_id""]",True,
data/backtests/post_rule_approval_diagnostic_all_statuses/diagnostic/fills_open.csv,data/backtests/post_rule_approval_diagnostic_all_statuses/diagnostic/fills_open.csv/fills_open,236,"[""context_space_id"", ""fees_usdc"", ""fill_id"", ""fill_price"", ""fill_ts_ms"", ""label"", ""leg"", ""market_id"", ""notional_usdc"", ""position_id"", ""relationship_id"", ""run_id"", ""shares"", ""side"", ""slippage_usdc"", ""strategy_lane"", ""token_id""]",True,
data/backtests/post_rule_approval_diagnostic_all_statuses/diagnostic/per_relationship_funnel.csv,data/backtests/post_rule_approval_diagnostic_all_statuses/diagnostic/per_relationship_funnel.csv/per_relationship_funnel,5214,"[""coverage_score_pair"", ""final_blocker"", ""final_confidence"", ""gross_violations"", ""has_price_history"", ""label"", ""lane"", ""mark_to_market_pnl_usdc"", ""question_a"", ""question_b"", ""realized_pnl_usdc"", ""relationship_id"", ""strategy_eligibility_status"", ""tick_count"", ""trades_closed"", ""trades_opened"", ""validation_status""]",True,
