relationship_id,market_id_a,market_id_b,question_a,question_b,relationship_type,relationship_subtype,relationship_family,context_space_id,context_rules_applied,lane,confidence,coverage_score_a,coverage_score_b,coverage_score_pair,aligned_ticks,gross_violations,positions_opened,realized_pnl,mtm_pnl,final_blocker
d9094c6a3056abd7ccd20f1302f2266d,566136,566731,Will PSG win the 2025–26 Champions League?,Will PSG win the 2025–26 French Ligue 1?,inverse,same_topic_no_trade,contradiction,,[],research_only,0.4066666666666666,0.7714,0.7643,0.7643,2988,1582,33,5920.017229887762,345.90857865369287,not_strategy_eligible (ineligible)
13129551f78a304d4f7815a9f0b6b9a7,593983,593988,Will Trump endorse John Cornyn for TX-Sen by Nov 2 2026 ET?,Will Trump endorse Susan Collins for ME-Sen by Nov 2 2026 ET?,contradiction,same_topic_no_trade,contradiction,,[],research_only,0.46778947368421053,0.7,0.7143,0.7,2475,958,17,-46.26188287305944,0.0,not_strategy_eligible (ineligible)
59ee0871ba2cbc59237b9ef1654b92a2,593983,593984,Will Trump endorse John Cornyn for TX-Sen by Nov 2 2026 ET?,Will Trump endorse Ken Paxton for TX-Sen by Nov 2 2026 ET?,contradiction,same_topic_no_trade,contradiction,,[],research_only,0.5255555555555554,0.7,0.7,0.7,2453,735,18,2726.4326395324715,0.0,not_strategy_eligible (ineligible)
f6fe1d2f110b43d7b1f12bf926a6ed4c,593984,593988,Will Trump endorse Ken Paxton for TX-Sen by Nov 2 2026 ET?,Will Trump endorse Susan Collins for ME-Sen by Nov 2 2026 ET?,contradiction,same_topic_no_trade,contradiction,,[],research_only,0.46778947368421053,0.7,0.7143,0.7,2410,466,15,1134.5201341316276,-61.45727311674578,not_strategy_eligible (ineligible)
70bf08c03f7d8e51cf06690a14175fea,599303,599305,Will Mallory McMorrow win the 2026 Michigan Democratic Primary?,Will Abdul El-Sayed win the 2026 Michigan Democratic Primary?,mutually_exclusive_category,same_topic_no_trade,rejected,,[],research_only,0.7,0.7922,0.7429,0.7429,2316,35,2,6.051668621152087,0.0,not_strategy_eligible (ineligible)
b63564c4676697cd8b4529bfb38adaf5,599303,599304,Will Mallory McMorrow win the 2026 Michigan Democratic Primary?,Will Haley Stevens win the 2026 Michigan Democratic Primary?,mutually_exclusive_category,same_topic_no_trade,rejected,,[],research_only,0.7,0.7922,0.7214,0.7214,2490,23,2,39.68535449438525,0.0,not_strategy_eligible (ineligible)
6cd2ec28195e6eb6140ed2f2640eb1c2,599304,599306,Will Haley Stevens win the 2026 Michigan Democratic Primary?,Will Dana Nessel win the 2026 Michigan Democratic Primary?,mutually_exclusive_category,same_topic_no_trade,rejected,,[],research_only,0.7,0.7214,0.7,0.7,2549,18,1,-33.516350593754275,0.0,not_strategy_eligible (ineligible)
795fdadddff035e1369f5bcb901896cc,599304,599308,Will Haley Stevens win the 2026 Michigan Democratic Primary?,Will Sarah Anthony win the 2026 Michigan Democratic Primary?,mutually_exclusive_category,same_topic_no_trade,rejected,,[],research_only,0.7,0.7214,0.7214,0.7214,2571,18,1,-33.516350593754275,0.0,not_strategy_eligible (ineligible)
1da024481b7bf08570081b1a4c3ce2ce,599304,599307,Will Haley Stevens win the 2026 Michigan Democratic Primary?,Will Rashida Tlaib win the 2026 Michigan Democratic Primary?,mutually_exclusive_category,same_topic_no_trade,rejected,,[],research_only,0.7,0.7214,0.7,0.7,2582,18,1,-38.541728753460795,0.0,not_strategy_eligible (ineligible)
8b3a4e3056a18f0839340670a6910cbc,599305,599307,Will Abdul El-Sayed win the 2026 Michigan Democratic Primary?,Will Rashida Tlaib win the 2026 Michigan Democratic Primary?,mutually_exclusive_category,same_topic_no_trade,rejected,,[],research_only,0.7,0.7429,0.7,0.7,2435,18,1,-20.698394818361024,0.0,not_strategy_eligible (ineligible)
1f8505d4254d1cdc5bd0b53416eb6b54,599304,599309,Will Haley Stevens win the 2026 Michigan Democratic Primary?,Will Kristen McDonald Rivet win the 2026 Michigan Democratic Primary?,mutually_exclusive_category,same_topic_no_trade,rejected,,[],research_only,0.7,0.7214,0.7786,0.7214,2546,16,1,-33.516350593754275,0.0,not_strategy_eligible (ineligible)
89457fa3a87ec777f61927d07717179e,599305,599306,Will Abdul El-Sayed win the 2026 Michigan Democratic Primary?,Will Dana Nessel win the 2026 Michigan Democratic Primary?,mutually_exclusive_category,same_topic_no_trade,rejected,,[],research_only,0.7,0.7429,0.7,0.7,2335,5,1,267.7420851743586,0.0,not_strategy_eligible (ineligible)
31c94851d6ded7e5ccc80c113e34a19b,559670,561976,Will Gina Raimondo win the 2028 Democratic presidential nomination?,Will Tulsi Gabbard win the 2028 Republican presidential nomination?,rejected,same_topic_no_trade,,,[],research_only,0.322,0.7857,0.7786,0.7786,3218,0,0,0.0,0.0,not_strategy_eligible (ineligible)
f3bcb267117ba89242f528cdeb72d786,559652,561984,Will Gavin Newsom win the 2028 Democratic presidential nomination?,Will Robert F. Kennedy Jr. win the 2028 Republican presidential nomination?,rejected,same_topic_no_trade,,,[],research_only,0.322,0.7,0.7143,0.7,3114,0,0,0.0,0.0,not_strategy_eligible (ineligible)
ac3f7028dfb79dce39de224d97fba2d8,559674,561976,Will Jared Polis win the 2028 Democratic presidential nomination?,Will Tulsi Gabbard win the 2028 Republican presidential nomination?,rejected,same_topic_no_trade,,,[],research_only,0.322,0.7,0.7786,0.7,3272,0,0,0.0,0.0,not_strategy_eligible (ineligible)
